epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,5681.08,0.32025,0.47177,0.22274,0.84705,0,0.93606,0.86815,0.90572,0.8082,0.95575,0.88286,0.91929,0.78176,0.41057,0.95846,0.3028,0.90939,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5942.26,0.31763,0.47102,0.2195,0.84495,0,0.92239,0.88441,0.90996,0.81311,0.9559,0.88384,0.9194,0.78425,0.4093,0.95417,0.29831,0.90817,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6208.23,0.31646,0.46621,0.21797,0.84457,0,0.93,0.893,0.91164,0.8156,0.94955,0.90242,0.9249,0.78724,0.39829,0.95952,0.29138,0.90134,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6474.63,0.31256,0.46546,0.2177,0.8432,0,0.93276,0.88874,0.91162,0.81699,0.94955,0.89922,0.92274,0.78752,0.39759,0.94111,0.27988,0.91421,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6740.25,0.31039,0.45039,0.21542,0.84419,0,0.92603,0.88313,0.90797,0.8175,0.94876,0.88787,0.92041,0.78772,0.39643,0.92172,0.27537,0.91438,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,271.602,0.30092,0.44132,0.20823,0.8387,0,0.9263,0.88301,0.90787,0.81477,0.93929,0.89453,0.91778,0.78566,0.40021,0.92915,0.27309,0.9184,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,538.152,0.30646,0.44516,0.21226,0.84174,0,0.92314,0.89402,0.9093,0.81825,0.94136,0.90021,0.92119,0.78753,0.39514,0.93135,0.27533,0.91331,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,268.919,0.27464,0.40807,0.19386,0.83014,0,0.92985,0.88868,0.90637,0.81467,0.94657,0.89819,0.91834,0.78509,0.39664,0.93418,0.27087,0.91451,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,541.87,0.30621,0.45416,0.20809,0.84292,0,0.92928,0.89136,0.90585,0.8126,0.94474,0.90037,0.91782,0.78433,0.39693,0.94001,0.26543,0.91571,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,810.038,0.30747,0.46064,0.21025,0.84426,0,0.93613,0.8859,0.90544,0.8109,0.94906,0.89683,0.9173,0.7836,0.40556,0.93185,0.27151,0.92305,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1080.76,0.30112,0.44381,0.20599,0.84057,0,0.93554,0.8854,0.90483,0.81094,0.94983,0.89496,0.91677,0.78458,0.40318,0.91451,0.27632,0.92446,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1351.79,0.29724,0.4424,0.20459,0.83847,0,0.92646,0.88962,0.90399,0.81097,0.94731,0.89344,0.91651,0.78495,0.40262,0.93033,0.28273,0.9247,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1621.86,0.29813,0.44126,0.20481,0.83898,0,0.92263,0.8892,0.90298,0.80834,0.94475,0.89561,0.91614,0.78269,0.40837,0.944,0.28984,0.92865,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1889.68,0.29618,0.44804,0.20475,0.83899,0,0.93014,0.88438,0.90272,0.80691,0.94836,0.8938,0.91517,0.78133,0.4103,0.95647,0.2907,0.93075,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2157.02,0.29639,0.44424,0.2051,0.83917,0,0.92847,0.88613,0.90366,0.80849,0.94833,0.89284,0.91599,0.78413,0.40832,0.95267,0.28926,0.9309,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2421.58,0.29728,0.44616,0.20327,0.838,0,0.92756,0.88616,0.90623,0.80931,0.94697,0.89533,0.91604,0.78438,0.40803,0.94891,0.29122,0.92904,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2687.69,0.29907,0.44331,0.20559,0.83987,0,0.92721,0.88571,0.90318,0.80914,0.94644,0.89303,0.91574,0.78491,0.40589,0.94565,0.2952,0.92729,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2958.14,0.29301,0.43418,0.20036,0.83878,0,0.92691,0.88404,0.90308,0.80908,0.94358,0.89436,0.91621,0.78415,0.40583,0.94878,0.29888,0.92664,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3226.2,0.29325,0.43369,0.19882,0.83722,0,0.92926,0.88177,0.90307,0.8088,0.9473,0.89193,0.91572,0.78493,0.40601,0.95406,0.29873,0.92829,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3496.15,0.29037,0.43283,0.1986,0.83591,0,0.92872,0.88355,0.90324,0.80808,0.94366,0.89401,0.91288,0.78397,0.40677,0.9587,0.30061,0.92996,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3764.37,0.29169,0.43012,0.19805,0.83839,0,0.93237,0.88241,0.90371,0.80878,0.94667,0.89329,0.91604,0.78484,0.40513,0.95793,0.29952,0.92928,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4032.59,0.29091,0.42609,0.19784,0.83779,0,0.93376,0.88184,0.90382,0.8095,0.94339,0.89523,0.91598,0.78544,0.40517,0.95419,0.30046,0.92834,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4301.87,0.28793,0.4328,0.19618,0.83554,0,0.9311,0.88252,0.90371,0.80913,0.94383,0.89424,0.91595,0.78556,0.40606,0.96078,0.30244,0.92922,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4563.94,0.28454,0.42176,0.1924,0.83503,0,0.92958,0.88256,0.9035,0.80923,0.94223,0.89451,0.91557,0.78525,0.40573,0.96562,0.30359,0.92802,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4832.34,0.28509,0.42304,0.19238,0.83635,0,0.92604,0.88392,0.90314,0.80857,0.9411,0.89527,0.91582,0.78524,0.4055,0.97143,0.30381,0.92737,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5100.06,0.28035,0.41699,0.1887,0.83461,0,0.92701,0.8844,0.90381,0.8088,0.93893,0.89541,0.9128,0.78393,0.40597,0.9715,0.30434,0.92727,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5374.23,0.27745,0.41338,0.18697,0.83207,0,0.92592,0.88423,0.90387,0.80908,0.94311,0.89236,0.91331,0.78363,0.40627,0.97063,0.30365,0.92688,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5642.28,0.28123,0.42363,0.19093,0.83456,0,0.92835,0.88332,0.90395,0.80871,0.94369,0.8922,0.91628,0.78451,0.40558,0.97402,0.30412,0.92423,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5912.02,0.27917,0.42097,0.18837,0.83606,0,0.92744,0.88301,0.90352,0.8078,0.94279,0.89257,0.91334,0.78323,0.40673,0.97919,0.30596,0.92346,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6187.29,0.27968,0.41919,0.18754,0.83286,0,0.92203,0.88373,0.90311,0.80606,0.94227,0.89182,0.91569,0.7833,0.40694,0.98085,0.30979,0.92078,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6453.93,0.27457,0.41154,0.18569,0.83079,0,0.92116,0.88529,0.90258,0.8062,0.93923,0.89333,0.91301,0.78319,0.40657,0.9829,0.30972,0.92046,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6722.72,0.27757,0.42156,0.18541,0.83381,0,0.91898,0.88392,0.90269,0.80515,0.942,0.88832,0.91243,0.78243,0.40805,0.98598,0.31019,0.92236,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6986.95,0.27181,0.41077,0.18146,0.82858,0,0.92027,0.88347,0.90241,0.8049,0.94112,0.88863,0.91238,0.78144,0.40785,0.98779,0.31071,0.92283,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7256.83,0.2715,0.40831,0.18062,0.83124,0,0.91996,0.88404,0.90226,0.80484,0.94072,0.88867,0.91216,0.78104,0.4074,0.99148,0.31096,0.92359,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7528.92,0.27075,0.41376,0.18177,0.83202,0,0.91933,0.88343,0.90165,0.8048,0.93864,0.89034,0.91197,0.78066,0.40713,0.99632,0.31027,0.9247,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
